번호,게시판,제목,작성자,날짜,조회수
1438,질문과 대답(QnA),나타조사나이드 구입처,겸손,2020.02.24.,607
1439,가입 인사,안녕하세요,생각의함정,2020.02.24.,30
1440,암에대한통합정보,암 치료를 위한 이트라코나졸의 용도 변경-- 먹는무좀약의 용도변경,신풍생각,2020.02.25.,751
1441,질문과 대답(QnA),니타조사나이드 여기에서 구매하신 분 있으신가요?,쿠키벨리1,2020.02.25.,723
1442,가입 인사,소중한 정보 감사합니다^^,그러게,2020.02.25.,61
1443,가입 인사,늦었지만...,만만디,2020.02.25.,124
1444,가입 인사,안녕하세요,주영맘,2020.02.25.,61
1445,기타 자가임상 후기,"펜벤, 알벤 11주동안의 부작용(염증반응, 탈모)후 다시 펜벤 시작하다",noor23,2020.02.25.,606
1446,자유게시판,안부,헤라,2020.02.25.,161
1447,가입 인사,안녕하세요^^,바다,2020.02.25.,353
1448,이버맥틴,이버멕틴_논문종합_2020년논문,담비,2020.02.25.,678
1450,니타조사나이드,신종코로나관련 네이처 발표자료(니타조사나이드),신풍생각,2020.02.25.,"1,001"
1451,자유게시판,[공유] WHO 중국에서 뭘 본거야 … ＂전세계가 중국에 빚져＂ 엉뚱한 찬양,내가만드는세상,2020.02.25.,215
1453,만성질환자가임상나누기,이버멕틴과 무좀(1),건강한 몸과 정신,2020.02.25.,726
1454,가입 인사,반갑습니다!,Jkhan,2020.02.25.,40
1456,가입 인사,안녕하세요,amy,2020.02.25.,44
1459,기생충사진공유,구충용 이버멕틴 복용 후 간디스토마? 배출 사례,말콥,2020.02.25.,"1,601"
1460,가입 인사,안녕하세요,허리케인,2020.02.25.,42
1461,질문과 대답(QnA),여기서 구충제라는 것은,허리케인,2020.02.25.,248
1462,가입 인사,안녕하세요!,아real,2020.02.25.,35
1463,자유게시판,인생에서 정말 소중한 것,자유롭게살자,2020.02.25.,137
1465,가입 인사,안녕하세요~ 반갑습니다.,아공이,2020.02.25.,56
1466,가입 인사,안녕하세요?,연두,2020.02.25.,39
1467,가입 인사,안녕하세요,용산동,2020.02.25.,53
1468,질문과 대답(QnA),니타조사나이드,건강하게살자,2020.02.25.,485
1471,가입 인사,가입인사,록희,2020.02.26.,26
1472,가입 인사,가입인사합니다,wang4263,2020.02.26.,34
1473,질문과 대답(QnA),안녕하세요 저좀도와주세요~,이루리,2020.02.26.,777
1475,가입 인사,가입인사,kyueok93,2020.02.26.,27
1476,가입 인사,가입했습니다,칸나,2020.02.26.,42
1477,가입 인사,가입인사드립니다,구구,2020.02.26.,43
1478,가입 인사,안녕하세요,rivers0811,2020.02.26.,41
1479,가입 인사,인사올립니다,라벤다,2020.02.26.,76
1480,자유게시판,안부,헤라,2020.02.26.,101
1481,가입 인사,반갑습니다,tweeze,2020.02.26.,40
1483,자유게시판,이버멕틴좀사고싶은데요,사랑하는사람들,2020.02.26.,313
1484,유투브방송 링크나눔,암의 원인은 미세기생충2부,헤라,2020.02.26.,276
1485,가입 인사,카페 이름대로 되기를 소망하면서 가입하였습니다.,의암호,2020.02.26.,97
1486,가입 인사,안녕하세요  반갑습니다 ㅎ,바이올렛,2020.02.26.,40
1487,담비,전립선암_메벤다졸_2020년 논문,담비,2020.02.26.,378
1488,자유게시판,니클로사마이드,나이가라 반갑습니다,2020.02.26.,961
1489,유투브방송 링크나눔,펜벤다졸과 다른 약들에성분,헤라,2020.02.26.,244
1490,질문과 대답(QnA),항암과 수술앞둔 여동생,sherena303,2020.02.26.,206
1491,유투브방송 링크나눔,헨섬킴 재롱떨기 ㅎ,헤라,2020.02.26.,166
1492,가입 인사,안녕하세요. 가입했어요.,올치,2020.02.26.,30
1493,기타 자가임상 후기,발톱 무좀 변화,배바다,2020.02.26.,588
1494,정보 공유,CBD오일에 대한 획기적인 소식,궁을,2020.02.26.,461
1495,가입 인사,가입했습니다,흐으름,2020.02.26.,40
1497,질문과 대답(QnA),알벤다졸 먹었는데 술 먹어도 될까요?,3겹,2020.02.26.,330
1498,질문과 대답(QnA),전립선암 척추뼈 전이,vgak907,2020.02.26.,262
1499,자유게시판,행복을 얻는 기술,자유롭게살자,2020.02.26.,71
1500,가입 인사,가입인사드립니다.,둘로스65,2020.02.26.,168
1501,가입 인사,가입인사 드립니다.,과즙통통,2020.02.27.,86
1502,가입 인사,가입 인사 드립니다..,헤라스,2020.02.27.,52
1503,질문과 대답(QnA),프라지콴텔 중국제 써보신분 있으세요?,noor23,2020.02.27.,206
1505,질문과 대답(QnA),펜벤 과 메벤의 차이점은....,나사조,2020.02.27.,328
1506,정보 공유,"[공유] 카나비노이드,THC, CBD,  카나비노이드 수용체,  엔도 카나비노이드",궁을,2020.02.27.,153
1507,정보 공유,약학정보원 홈페이지,솔비,2020.02.27.,188
1508,자유게시판,안부,헤라,2020.02.27.,115
1509,가입 인사,가입인사드립니다,덤보,2020.02.27.,42
1510,유투브방송 링크나눔,애나님 말씀에 동의합니다,헤라,2020.02.27.,414
1511,질문과 대답(QnA),트리아 자비린?,경산에살어리,2020.02.27.,209
1512,가입 인사,안녕하세요,로즈자스민,2020.02.27.,53
1513,담비,자궁내막증_니클로사마이드_염증,담비,2020.02.27.,644
1515,유투브방송 링크나눔,지혜와성실님 현재상태,헤라,2020.02.27.,451
1516,자유게시판,[오후생각] 당신 몸속 기생충 있다고 저는 확신합니다.,화창한오후,2020.02.27.,321
1518,자유게시판,지금이 제철인 당근쥬스  새로운세포생성  1인자..,잘싸먹자,2020.02.27.,325
1519,가입 인사,가입인사드려요~,건강하자요,2020.02.27.,36
1520,가입 인사,독시 싸이클린 복용하고싶은데 구입할수있는곳이나 가격 알고싶어요,인천 꽃길만,2020.02.27.,407
1521,정보 공유,간에 좋은 밀크씨슬,성뷔,2020.02.27.,294
1522,질문과 대답(QnA),사상충 관련 자료,기기구구,2020.02.27.,297
1523,기타 자가임상 후기,나의 가슴사이에 썩은냄새없애자.- 알벤다졸,잘싸먹자,2020.02.27.,"1,019"
1524,정보 공유,난소암발병 새 원인 찾았다,고고싱고,2020.02.27.,440
1526,가입 인사,항암 하는게 좋을까요?,cjftod9956,2020.02.28.,309
1528,가입 인사,가입인사. 드립니다. 꾸벅,서거리,2020.02.28.,61
1530,유투브방송 링크나눔,신풍생각님 의 표준치료  이야기,헤라,2020.02.28.,271
1531,정보 공유,문의합니다,구구,2020.02.28.,117
1532,가입 인사,림프종,chzh8641,2020.02.28.,185
1533,질문과 대답(QnA),문의드립니다.,불로장수,2020.02.28.,80
1534,니타조사나이드,어린이장내기생충감염_니타조사나이드,담비,2020.02.28.,890
1535,가입 인사,잘부탁드립니다.,조은데이,2020.02.28.,98
1536,가입 인사,가입인사,서울지이크,2020.02.28.,32
1537,자유게시판,안부,헤라,2020.02.28.,135
1538,가입 인사,안녕하세요~^^,덕이랑,2020.02.28.,60
1539,가입 인사,안녕하세요~,윈드메니아,2020.02.28.,123
1540,유투브방송 링크나눔,이지현작가님  집밥혁명,헤라,2020.02.28.,226
1542,가입 인사,반갑습니다^^  유투버보고 왔습니다,정법강의짱,2020.02.28.,76
1544,자유게시판,입이 써요~,윈드메니아,2020.02.28.,118
1545,가입 인사,안녕하세요.,바빌론 부자,2020.02.28.,47
1547,질문과 대답(QnA),인디아마트 통관 문의 드립니다.,바빌론부자,2020.02.28.,980
1548,가입 인사,안녕하세요~,얼음배,2020.02.28.,48
1549,만성질환자가임상나누기,"만성 아토피, 22mg 이버멕틴 2차 테스팅 (완료)",건강한 몸과 정신,2020.02.28.,736
1550,가입 인사,안녕하세요?,늘벗소리,2020.02.28.,83
1551,기타 자가임상 후기,내몸에 기생충을 몰아냈더니 이놈이 할리웃에 가 오스카를 휩쓸었네요^^,늘벗소리,2020.02.28.,292
1552,가입 인사,안녕하세요 가입인사드립니다,최고문,2020.02.28.,62
1553,자유게시판,다 그런 재미로 살아간다,자유롭게살자,2020.02.28.,134
1554,가입 인사,어깨통증에 효과 있는 구충제가 있을까요,이쁜허브,2020.02.28.,502
1555,질문과 대답(QnA),신풍님께 여쭙니다~,암 안녕,2020.02.28.,315
1556,자유게시판,알벤 메벤 펜벤 ..다 드시고 계신데 ..,김웅이83,2020.02.28.,610
1557,유투브방송 링크나눔,헨섬킴  가짜뉴스~~다친다,헤라,2020.02.28.,426
1560,질문과 대답(QnA),기능의학병원,방방붕방,2020.02.28.,291
1561,자유게시판,펜벤을 구할수있을까요?,미즈온,2020.02.28.,395
1563,유투브방송 링크나눔,이버멕틴 인류를구하다,헤라,2020.02.29.,389
1564,자유게시판,안부,헤라,2020.02.29.,125
1565,담비,삼중음성유방암_베르베린의 효과,담비,2020.02.29.,404
1567,정보 공유,두통약 먹으려다 검색해본 정보,고고싱고,2020.02.29.,296
1568,가입 인사,가입인사 드립니다.,아연수,2020.02.29.,53
1569,자유게시판,ALP수치 급상승,야베스,2020.02.29.,583
1572,질문과 대답(QnA),알벤다졸 질문합니다,3겹,2020.02.29.,287
1573,질문과 대답(QnA),알벤다졸 소독제,겸손,2020.02.29.,307
1574,자유게시판,해답은 당신 가슴 속에 있다,자유롭게살자,2020.02.29.,123
1577,가입 인사,안녕하세요.,조하요,2020.02.29.,69
1578,자유게시판,딸 mri못하러가요~,헤라,2020.02.29.,443
1579,질문과 대답(QnA),알벤다졸 코세척 하시는 분!!,이천댁런런어뭉,2020.02.29.,514
1580,자유게시판,항암구충제,harrypotty3,2020.02.29.,438
1584,질문과 대답(QnA),피르비늄 복용 질문요,알천형,2020.03.01.,413
1585,자유게시판,안부,헤라,2020.03.01.,96
1586,담비,난소암_니클로사마이드_2019년,담비,2020.03.01.,422
1587,가입 인사,가입인사드려요,천상의보이스,2020.03.01.,51
1588,정보 공유,벤다졸 구충제와 비타민c,바다,2020.03.01.,450
1589,가입 인사,가입인사 드립니다,미누7777,2020.03.01.,73
1590,가입 인사,안녕하세요..가입인사드릴게요,미야뿡,2020.03.01.,122
1592,가입 인사,가입인사 드립니다.,자유로운여행자,2020.03.01.,53
1593,자유게시판,봄이 오니 들밭에 냉이 캐러 많이 다니시는데...,궁을,2020.03.01.,282
1595,질문과 대답(QnA),니코로사마이드,기기구구,2020.03.01.,318
1596,자유게시판,코로나 예방법,루루,2020.03.01.,183
1597,자유게시판,좀 섭섭하네요.(디스토시드),루루,2020.03.01.,643
1600,유투브방송 링크나눔,신풍생각님에..신천지와코로나19,헤라,2020.03.01.,307
1601,궁을,1950년대와 1990년대 작물의 영양소 차이,궁을,2020.03.01.,185
1602,자유게시판,항문암 통증 줄인방법...,프로토TV,2020.03.01.,285
1603,가입 인사,가입인사드립니다,마르치아나,2020.03.01.,42
1604,가입 인사,가입인사 드립니다.,Jehovah Nissi,2020.03.01.,53
1605,가입 인사,가입인사,dnjsgusdhr57,2020.03.01.,37
1606,질문과 대답(QnA),이버맥틴 부작용에 관한 질문 드립니다~,Jehovah Nissi,2020.03.02.,"1,173"
1607,자유게시판,모든 희망은 절실함과 실천으로 이루어진다,자유롭게살자,2020.03.02.,109
1608,가입 인사,가입. 인사 드립니다~,둔팅이,2020.03.02.,82
1609,궁을,암과 파이토케미컬,궁을,2020.03.02.,182
1610,자유게시판,안부,헤라,2020.03.02.,123
1611,질문과 대답(QnA),니클로마사이드,수원W홍홍,2020.03.02.,465
1612,가입 인사,가입인사 드립니다,이고득락,2020.03.02.,40
1613,가입 인사,가입인사 드립니다.,햄버거,2020.03.02.,76
1615,자유게시판,췌장암 ..당뇨 ..,미야뿡,2020.03.02.,675
1616,가입 인사,인사드립니다,다함께 감사로,2020.03.02.,51
1617,자유게시판,대단한 인기카페를 소개 해 드립니다.,분홍앵초,2020.03.02.,647
1618,자유게시판,즐거움도 행복도 가장 가까운 곳에 있다,자유롭게살자,2020.03.02.,55
1619,유투브방송 링크나눔,암의원인은 미세기생충3부,헤라,2020.03.02.,216
1620,자유게시판,신부전 부작용 후 구충제 요법,보호자 창원언니,2020.03.02.,168
1621,자유게시판,속쌍합니다. 코로나 때문에요.,분홍앵초,2020.03.02.,238
1622,가입 인사,반갑습니다.,HMCH,2020.03.02.,51
1623,자유게시판,다시봐도 좋은소식,프로토TV,2020.03.02.,229
1624,담비,교모세포종_베르베린_커큐민,담비,2020.03.02.,345
1625,질문과 대답(QnA),프로폴리스/비타민C 효과,기기구구,2020.03.02.,317
1626,궁을,비료도 퇴비도 없이 작물이 어떻게 자라나요?,궁을,2020.03.02.,238
1628,가입 인사,가입인사,구름나무,2020.03.02.,58
1631,가입 인사,반갑습니다,kkkk7,2020.03.03.,41
1632,가입 인사,가입인사드립니다.,명쾌,2020.03.03.,40
1633,질문과 대답(QnA),인도산 이버맥틴,수원W홍홍,2020.03.03.,456
1634,자유게시판,안부,헤라,2020.03.03.,129
1635,기타 자가임상 후기,딸 이버멕틴 다시또 시작 다른분폐암후기두있어요~,헤라,2020.03.03.,"1,192"
1636,가입 인사,안녕하세요^^,루나제이,2020.03.03.,104
1638,질문과 대답(QnA),구충제 복용,미소랑,2020.03.03.,299
1640,구매정보게시판(물건배송확인후),우리 카페에 사기꾼들이 활동을 하나봅니다.  해결됨..,신풍생각,2020.03.03.,960
1641,기타 자가임상 후기,니타조사나이드 노란색,헤라,2020.03.03.,774
1642,가입 인사,안녕하세요 반가워요,아빠힘내요,2020.03.03.,417
1643,암에대한통합정보,항 박테리아(사이클로피록스)제도 항암기전을 가지고 있군요.,신풍생각,2020.03.03.,158
1644,가입 인사,함께 힘내요,hanik10,2020.03.03.,102
1645,유투브방송 링크나눔,알약모독..이버멕틴..관한글,헤라,2020.03.03.,394
1646,가입 인사,안녕하세요~,Ryan23,2020.03.03.,89
1647,자유게시판,벤다졸류와 흑호두 삼총사 같이 복용해도되나요,새별바라기,2020.03.03.,356
1649,자유게시판,니클로사미드 구매방법?,새별바라기,2020.03.03.,398
1650,가입 인사,가입인사,가을이 좋아,2020.03.04.,46
1651,자유게시판,조언 부탁드립니다.,가을이 좋아,2020.03.04.,275
1652,가입 인사,피르비늄,서거리,2020.03.04.,290
1653,가입 인사,폐암세포80%죽였다,ganet050400,2020.03.04.,364
1654,자유게시판,헬리콕박터,parkjw106289,2020.03.04.,262
1655,자유게시판,닉네임에 대해~,궁을,2020.03.04.,137
1656,"벤지미다졸체험기, 희망나누기",완료))CBD오일 팝니다.,파란하늘9,2020.03.04.,361
1657,자유게시판,안부,헤라,2020.03.04.,137
1658,가입 인사,가입인사 드립니다..,skywave,2020.03.04.,47
1659,자유게시판,배트남 직구에 관하여~~,분홍앵초,2020.03.04.,471
1660,기타 자가임상 후기,이버멕틴 후기,헤라,2020.03.04.,646
1661,가입 인사,디스토시드복용,cjftod9956,2020.03.04.,325
1662,담비,베르베린_항암효과_2019,담비,2020.03.04.,381
1664,자유게시판,2100명 오셨습니다~~~♡,헤라,2020.03.04.,223
1665,가입 인사,가입인사 드립니다.,22dolphin,2020.03.04.,59
1666,기타 자가임상 후기,입술물집 개인변화_헤르페스 바이러스에 대해서,화창한오후,2020.03.04.,252
1669,유투브방송 링크나눔,20주차..근황보고,헤라,2020.03.04.,302
1670,가입 인사,안녕하세요? 신장암 환자 가족입니다.,감사,2020.03.04.,135
1671,자유게시판,가려움증,미야뿡,2020.03.04.,192
1672,질문과 대답(QnA),구충제 복용시간,미소랑,2020.03.04.,159
1673,가입 인사,가입 인사 드립니다,햇살가득,2020.03.04.,60
1674,질문과 대답(QnA),기생충 사체 독소 배출-러시아 알로홀 드셔보신 분 계신가요?,감사,2020.03.04.,424
1675,가입 인사,가입인사 드립니다,freefroms,2020.03.04.,73
1677,벤지미다졸 질문 게시판,이버맥틴 구매,dhcksgur13,2020.03.04.,606
1681,가입 인사,반갑습니다.,here3426,2020.03.04.,74
1682,자유게시판,이버멕틴 복용법,야베스,2020.03.04.,808
1683,자유게시판,세상 사는 세가지 지혜,자유롭게살자,2020.03.04.,94
1684,질문과 대답(QnA),어머니가 유방암2기이신데 혈당이,기기구구,2020.03.04.,190
1685,자유게시판,긴급 제안합니다,풀꽃,2020.03.04.,394
1686,자유게시판,지인 혈액암,썬앤,2020.03.04.,310
1687,자유게시판,신풍생각님 이하 유튜버님들께 감사인사 드리는법~!,분홍앵초,2020.03.04.,326
1688,질문과 대답(QnA),이버멕틴도 기름과 먹어야 하나요??,산하,2020.03.04.,534
1692,유투브방송 링크나눔,예전에는 기생충홍보가 굿이네요^^,헤라,2020.03.04.,186
1693,자유게시판,니타조사나이드 구입..,산하,2020.03.04.,476
1694,자유게시판,제가 올린 니타조사나이드 나눔글을 삭제하신 이유가 뭔지 알고 싶습니다,freefroms,2020.03.05.,496
1695,만성간염,B형 간염 기존 자료를 간단히 정리,모여라,2020.03.05.,654
1696,자유게시판,서울나들이,천상의보이스,2020.03.05.,114
1697,자유게시판,약관련의견 기타의견..카페에 바라는점,헤라,2020.03.05.,387
1698,자유게시판,좋은 마음 응원하는마음,서거리,2020.03.05.,81
1699,자유게시판,안부,헤라,2020.03.05.,115
1700,이버맥틴자가임상후기,이버멕틴 10일간 연속복용,궁을,2020.03.05.,"1,976"
1701,자유게시판,행복을 부르는 주문,자유롭게살자,2020.03.05.,84
1702,기타 자가임상 후기,이버맥틴  한알 먹고 후기 (재복용 안할생각임),샛별같이,2020.03.05.,664
1703,자유게시판,이제 약을 구하기 어려울수도 있습니다. (참고하세요 ~),치우천왕,2020.03.05.,563
1705,정보 공유,혈액검사 받았늣데.한번 봐주세요?,소꼽친구,2020.03.05.,175
1706,가입 인사,타목시펜 부작용에 대하여,긍정의 힘,2020.03.05.,173
1707,자유게시판,전립선 암에 효과 보신분,우암,2020.03.05.,180
1708,자유게시판,약 구하기 점점 힘들어 지네요.,가을이 좋아,2020.03.05.,613
1710,자유게시판,의사 271명중 270명은 항암제 거부,토마린,2020.03.05.,531
1711,자유게시판,"될수 있으면 제철,  자연산으로 많이 드세요",궁을,2020.03.05.,311
1713,자유게시판,이제 믿을껀 구충제뿐인가봐요.,모락산호랑이,2020.03.05.,386
1714,가입 인사,안녕하세요.,냥이엄마,2020.03.05.,87
1715,질문과 대답(QnA),크론병 환자입니다.,냥이엄마,2020.03.05.,489
1718,자유게시판,아버지 항암1차 후기,갸웃갸웃,2020.03.05.,276
1719,질문과 대답(QnA),저희어머님이 내분비세포암(소세포암)4기이신데요..,행운의여신쩡,2020.03.05.,193
1720,자유게시판,안녕하세요 유튜버 핸섬킴입니다^^,핸섬킴,2020.03.05.,484
1723,이버맥틴자가임상후기,(일반인)이버멕틴 1회 복용후 미세한 몸 변화는?,뾰뾰뾰쭁쭁쭁,2020.03.06.,659
1724,가입 인사,안녕하세요,삼남매홧팅,2020.03.06.,91
1725,질문과 대답(QnA),메벤다졸 100mg 먹는법,별총총,2020.03.06.,449
1726,자유게시판,안부,헤라,2020.03.06.,135
1728,자유게시판,"코로나 창궐 이때에 열감기몸살-췌장암,간전이,복막전이,림프전이의심",잘싸먹자,2020.03.06.,993
1729,질문과 대답(QnA),혹시 이게 뭔지 아시는분 계실까요?,햄버거,2020.03.06.,328
1730,자유게시판,이러구 불때고 있어요..ㅋ,잘싸먹자,2020.03.06.,391
1731,가입 인사,니타조사나이드 복용방법과 기간은 ?,그래도봄은온다,2020.03.06.,539
1732,가입 인사,플루벤다졸 현탁액 드시는분요?,그래도봄은온다,2020.03.06.,225
1733,질문과 대답(QnA),펜벤 이버엑틴 조합 어떻가요?,모락산호랑이,2020.03.06.,407
1734,담비,난소암-이버멕틴-2020년,담비,2020.03.06.,554
1735,유투브방송 링크나눔,암의원인은 미세기생충,헤라,2020.03.06.,254
1736,가입 인사,가입인사합니다.,지혀인,2020.03.06.,64
1737,유투브방송 링크나눔,닥터심 에이즈 완치케이스,헤라,2020.03.06.,228
1738,자유게시판,수술전인데 구충제는 언제 먹으면 될까요?,이상한 나라의 앨리스,2020.03.06.,282
1739,자유게시판,좋은 소식전합니다,고딩이,2020.03.06.,512
1740,만성질환자가임상나누기,각각의 복용법 좀 알려 주세요!!,donachung,2020.03.06.,510
1741,자유게시판,감사합니다 ㅠㅠ,미야뿡,2020.03.06.,380
1742,자유게시판,"비타민c, 독시사이클린, 구충제 칵테일 해봤습니다.",밀키엠케이,2020.03.06.,773
1743,유투브방송 링크나눔,피부와눈을기어다는 기생충,헤라,2020.03.06.,540
1745,암에대한통합정보,사카린의 항암효과,신풍생각,2020.03.07.,282
1746,자유게시판,구충제 와 오일복용,서거리,2020.03.07.,268
1747,이버맥틴,이버멕틴으로 아토피를 치료한 놀라운 사례,궁을,2020.03.07.,"1,140"
1748,비타민 C,가장 완벽한 구충제,궁을,2020.03.07.,"1,070"
1749,자유게시판,안부,헤라,2020.03.07.,90
1750,자유게시판,도와주세요! 두드러기가 심합니다!,감사,2020.03.07.,262
1751,기타 자가임상 후기,이버멕틴후기,헤라,2020.03.07.,"1,046"
1752,담비,삼중음성유방암_알벤다졸_2019,담비,2020.03.07.,414
1753,자유게시판,냉이  굿  궁을님 감사합니다,헤라,2020.03.07.,165
1754,자유게시판,알벤2주차끝나고 가려움 문의요?,사랑하는사람들,2020.03.07.,260
1755,유투브방송 링크나눔,샤카린의 항암효과,헤라,2020.03.07.,263
1756,자유게시판,암치료 구충제복용하는법,헤라,2020.03.07.,"1,201"
1758,자유게시판,암치료 구충제복용하는법,꽃길애경71,2020.03.07.,156
1759,가입 인사,인사드립니다.,로마휴일,2020.03.07.,77
1760,자유게시판,약국 털어왔어요 ㅎㅎ,아빠힘내요,2020.03.07.,619
1761,자유게시판,당신은 누군가에게 위로가 되어주는 사람입니다,자유롭게살자,2020.03.07.,89
1762,가입 인사,안녕하세요.. 유튭 신풍님 글 보고 여기까지 오게 되었습니다.,행복꾸러미,2020.03.07.,114
1763,질문과 대답(QnA),어머니 폐암4기 판정한달조금 넘었어요,미니미니,2020.03.07.,369
1764,자유게시판,이버맥틴,미야뿡,2020.03.07.,433
1765,가입 인사,닉 네임 바꾸고 신고를 못 했네요.ㅎ,우리,2020.03.07.,145
1767,가입 인사,안녕하세요.,밀털,2020.03.07.,50
1768,궁을,면역력회복 방안(2),궁을,2020.03.07.,343
1769,유투브방송 링크나눔,항암제와 구충제 똑똑하게 활용하기,헤라,2020.03.07.,365
1770,가입 인사,반갑습니다,아네아,2020.03.07.,67
1771,질문과 대답(QnA),영어잘하시는분들 도움 요청합니다.,기기구구,2020.03.07.,356
1773,질문과 대답(QnA),비타민주사/복수/복용계획 질문,가암자,2020.03.08.,257
1775,기타 자가임상 후기,암센터의이버멕틴,헤라,2020.03.08.,454
1778,자유게시판,이거 국립암센타..이버멕틴특허,헤라,2020.03.08.,526
1779,자유게시판,헌이불 좀 기부해 주세요~(마감. 그만 주세요 ^^ 나눔주시는 분들께 감사드립니다),궁을,2020.03.08.,331
1780,자유게시판,안부,헤라,2020.03.08.,125
1781,담비,췌장암_알벤다졸_2020,담비,2020.03.08.,712
1782,자유게시판,1차항암으로,갸웃갸웃,2020.03.08.,213
1783,기타 자가임상 후기,확인 부탁합니다,임한성 입니다,2020.03.08.,511
1784,자유게시판,사기꾼신고방,헤라,2020.03.08.,938
1785,질문과 대답(QnA),메벤다졸 구입에 도움을 구합니다~,Jehovah Nissi,2020.03.08.,552
1786,정보 공유,[공유] 지인한테 카톡으로 받은 글입니다. ~,치우천왕,2020.03.08.,616
1787,자유게시판,코로나 예방 및 치료에 효과적인 비타민C,루루,2020.03.08.,180
1790,자유게시판,인생은 내일도 계속된다,자유롭게살자,2020.03.08.,62
1791,자유게시판,누군가가 이버멕틴 구매해보라고 하여,잘싸먹자,2020.03.08.,716
1793,자유게시판,왜 글을삭제되었을까요?,헤라,2020.03.08.,439
1794,자유게시판,하사랑 이라는분 누구신데..글을 삭제했나요?,헤라,2020.03.08.,538
1795,자유게시판,삭제글 복구했습니다.,신풍생각,2020.03.08.,422
1796,질문과 대답(QnA),구토증상..ㅠㅠ,미니미니,2020.03.08.,225
1797,암에대한통합정보,펜벤다졸 복용시 반드시 비타민E와 같이 복용이 필요한 이유의 근거 논문,신풍생각,2020.03.08.,488
1800,자유게시판,니타조사나이드 이버맥틴 둘중 어떤거 먼저 복용 하면 될가요???,아르미천겸,2020.03.09.,419
1801,자유게시판,안부,헤라,2020.03.09.,115
1802,자유게시판,카페스텝 관련글,헤라,2020.03.09.,253
1803,자유게시판,프리바이오틱스 복용 간단후기,궁을,2020.03.09.,364
1804,자유게시판,비타민c로 코로나19를 치료할수 있는 임상을 할수 있게 청원 부탁합니다.,스모리,2020.03.09.,124
1805,자유게시판,이버맥틴 연속 2일차,미야뿡,2020.03.09.,875
1806,자유게시판,움직이고. 운동의 필요성,서거리,2020.03.09.,160
1807,가입 인사,안녕하세요,anrndghk,2020.03.09.,40
1808,가입 인사,안녕하세요~,봄차룬,2020.03.09.,46
1810,질문과 대답(QnA),알벤다졸 복용,반지하누렁이,2020.03.09.,470
1811,자유게시판,하루하루가 소중하네요,햄버거,2020.03.09.,164
1812,질문과 대답(QnA),난소육종암 복용계획 봐주세용!!,가암자,2020.03.09.,262
1813,이버맥틴자가임상후기,"이버멕틴 1일차 후기-알벤 2알, 메벤 2알  : 췌장암,간전이, 림프전이",잘싸먹자,2020.03.09.,589
1814,자유게시판,구충제 나눠서 구매하실분 계신가요 (마감),새별바라기,2020.03.09.,459
1815,자유게시판,사과드립니다_DAMBI,담비,2020.03.09.,487
1817,정보 공유,죄송합니다.,myroomgo,2020.03.09.,328
1819,자유게시판,오늘 점심은,분홍앵초,2020.03.09.,317
1820,유투브방송 링크나눔,신풍생각님에 이버멕틴 자가임상,헤라,2020.03.09.,589
1821,구매정보게시판(물건배송확인후),인도 직구에 대해서,여수등대지기,2020.03.09.,661
1822,자유게시판,보조제 남용(?)해도 괜찬을지,작은할배,2020.03.09.,297
1823,자유게시판,이버맥틴  나눔해주실분 있나요?,바다,2020.03.09.,440
1824,자유게시판,프리바이오틱스 세분 발송했습니다,궁을,2020.03.09.,271
1825,질문과 대답(QnA),펜벤500 증량후?,모락산호랑이,2020.03.09.,335
1826,가입 인사,기생충으로인한 아토피,삼남매홧팅,2020.03.09.,"1,190"
1828,자유게시판,셀레나제 주사,보호자 창원언니,2020.03.09.,206
1829,기타 자가임상 후기,"될수 있으면 제철, 자연산으로 많이 드세요",배바다,2020.03.09.,95
1830,암에대한통합정보,암세포 죽이는 가장 쉬운 법. NK세포 활성화 방법. nk세포 음식. 암 안걸리는법,궁을,2020.03.10.,363
1831,자유게시판,안부,헤라,2020.03.10.,115
1832,자유게시판,메벤다졸 하루 2000 mg 괜찮을까요?,감사,2020.03.10.,338
1833,담비,비소세포폐암_베르베린_2019년,담비,2020.03.10.,392
1834,자유게시판,닥터심. 사람구충제 항암작용있다,헤라,2020.03.10.,286
1835,유투브방송 링크나눔,구충제 항암치료,헤라,2020.03.10.,355
1836,이버맥틴자가임상후기,"이버멕틴2일차 후기-췌장암,간전이,복막전이,림프전이",잘싸먹자,2020.03.10.,467
1837,기타 자가임상 후기,자가임상결과..신풍님과..울회원님들과공유,헤라,2020.03.10.,814
1838,가입 인사,안녕하세요,박꼼양,2020.03.10.,57
1839,자유게시판,아버지께서 소세포암진단을받았습니다.,박꼼양,2020.03.10.,152
1840,기타 자가임상 후기,니타->니클->디스토시드 후 뭘 먹어야할지; (수정 밀크씨슬 매일 1알 복용),가이아,2020.03.10.,468
1841,가입 인사,안녕하세요. 가입인사 드립니다.,비밀병기,2020.03.10.,57
1842,가입 인사,피검사  할 때는  복용중단을 해야 합니까?,우리,2020.03.10.,229
1843,가입 인사,안녕 하세요! 가입 인사 드립니다.,참소아,2020.03.10.,105
1844,자유게시판,마음은 가장 소중한 재산입니다,자유롭게살자,2020.03.10.,79
1845,기타 자가임상 후기,프라지콴텔 (디스토시드)후기,서울C재벌,2020.03.10.,945
